定数,曲目名称,难度
10.3,Ultradiaxon-N3,FTR
10.3,SUPER AMBULANCE,FTR
10.3,Breach of Faith,FTR
10.3,ROST PAGE GENE,FTR
10.2,GOODRAGE,ETR
10.2,Quon (DJ Noriken),BYD
10.2,Lastendconductor,BYD
10.2,Red and Blue,BYD
10.2,Renegade,BYD
10.2,Your Best Nightmare,BYD
10.2,Nirv lucE,FTR
10.2,Αterlβus,FTR
10.2,Conflict,FTR
10.2,Valhalla:0,FTR
10.2,Malicious Mischance,FTR
10.2,Löschen,FTR
10.2,Redolent Shape,FTR
10.2,NEO WINGS,FTR
10.2,Capella,FTR
10.2,Magnolia,FTR
10.2,Logos,FTR
10.2,Angel's Boundary,FTR
10.2,Grandspell,FTR
10.1,Gensou no Satellite,ETR
10.1,BlazinG AIR,ETR
10.1,Don't Die,ETR
10.1,OBLIVION,ETR
10.1,INFINITE DIMENSION,ETR
10.1,My life is mine alone!,ETR
10.1,Cryogenic,ETR
10.1,PRAGMATISM,FTR
10.1,G e n g a o z o,FTR
10.1,Medusa,FTR
10.1,Trrricksters!!,FTR
10.1,Kanbu de Tomatte Sugu Tokeru,FTR
10.1,We're All Gonna Die,FTR
10.1,"Welcome, Queen of Fiction.",FTR
10.1,Undying Macula,FTR
10,Third Sun,ETR
10,ΛZΛLEΛ,ETR
10,La'qryma of the Wasteland,BYD
10,Bookmaker (2D Version),BYD
10,Altale,BYD
10,Sheriruth,FTR
10,Alexandrite,FTR
10,Scarlet Lance,FTR
10,Vicious Heroism,FTR
10,Xanatos,FTR
10,Oshama Scramble!,FTR
10,Bamboo,FTR
10,HIVEMIND,FTR
10,World Ender,FTR
10,Free Myself,FTR
10,Masquerade Legion,FTR
10,Chromafill,FTR
10,TRPNO,FTR
10,Liar,FTR
9.9,STARGATE EXTREME,ETR
9.9,Hypnotize,ETR
9.9,Shinchoku Doudesuka?,ETR
9.9,Tic! Tac! Toe!,ETR
9.9,Incomplete the one,ETR
9.9,Vainspire,ETR
9.9,Paradox Palette,ETR
9.9,CHAIN2NITE,ETR
9.9,Dement ~after legend~,BYD
9.9,Ignotus,BYD
9.9,Anökumene,BYD
9.9,Eccentric Tale,BYD
9.9,False Embellishment,BYD
9.9,Modelista,FTR
9.9,Trappola bewitching,FTR
9.9,Nhelv,FTR
9.9,Heavensdoor,FTR
9.9,Mirzam,FTR
9.9,Antagonism,FTR
9.9,Arcahv,FTR
9.9,Galaxy Friends,FTR
9.9,7thSense,FTR
9.9,Summer Fireworks of Love,FTR
9.9,Trap Crow,FTR
9.9,"Infinite Strife,",FTR
9.9,Astra walkthrough,FTR
9.9,MAXRAGE,FTR
9.9,The Survivor (Game Edit),FTR
9.9,New York Back Raise,FTR
9.9,INTERNET YAMERO,FTR
9.9,Devillic Sphere,FTR
9.9,Ultimate taste,FTR
9.9,Amekagura,FTR
9.9,Désive,FTR
9.9,Beautiful Dreamer,FTR
9.9,Distortion Human,FTR
9.9,Ashen 6oundary,FTR
9.9,Swan Song,FTR
9.9,ViRTUS,FTR
9.9,Syriana,FTR
9.9,Lilly,FTR
9.9,ANDORXOR,FTR
9.9,Xxium and Purple haze,FTR
9.9,Code: Oblivion,FTR
9.9,~ +,FTR
9.8,MORNINGLOOM,ETR
9.8,Waltz for Lorelei,ETR
9.8,Crimson Quartz,ETR
9.8,LiftOff,ETR
9.8,U.A.D,ETR
9.8,Miles,ETR
9.8,Disintegration,ETR
9.8,Taboo tears you up 2017,ETR
9.8,GOODTEK (Arcaea Edit),BYD
9.8,Lost Civilization,BYD
9.8,Kanagawa Cyber Culvert,BYD
9.8,Qualia -ideaesthesia-,BYD
9.8,FREEF4LL,BYD
9.8,Cybernecia Catharsis,BYD
9.8,SOUNDWiTCH,FTR
9.8,Memory Forest,FTR
9.8,Linear Accelerator,FTR
9.8,Black Territory,FTR
9.8,Corruption,FTR
9.8,Heavenly caress,FTR
9.8,Einherjar Joker,FTR
9.8,Lost Desire,FTR
9.8,Altale,FTR
9.8,Scarlet Cage,FTR
9.8,Got hive of Ra,FTR
9.8,Xeraphinite,FTR
9.8,Far Away Light,FTR
9.8,THE ULTIMACY,FTR
9.8,Mazy Metroplex,FTR
9.8,Ascent,FTR
9.8,Haze of Autumn,FTR
9.8,Init(),FTR
9.8,Macrocosmic Modulation,FTR
9.8,Protoflicker,FTR
9.8,Defection,FTR
9.8,Callima Karma,FTR
9.8,Ai Drew,FTR
9.8,FLUFFY FLASH,FTR
9.8,World Fragments III(radio edit),FTR
9.8,Genesis (Morrigan),FTR
9.8,Hybris (The one who shattered),FTR
9.8,RGB,FTR
9.8,Kanjou no Matenrou ～Arr.Demetori,FTR
9.8,To the Furthest Dream,FTR
9.8,Technicolour,FTR
9.8,Nameless Passion,FTR
9.8,Ouvertüre,FTR
9.8,LIVHT MY WΔY,FTR
9.8,Old School Salvage,FTR
9.8,10pt8ion,FTR
9.8,HYPER VISION,FTR
9.8,Shrink,FTR
9.8,Ignition,FTR
9.8,Yomibito shirazu,FTR
9.8,MEGALOVANIA (Camellia Remix),FTR
9.8,Won't Back Down,FTR
9.8,Nightmare,FTR
9.8,Scarlet Lunar Empress,FTR
9.8,Xterfusion,FTR
9.8,Signal,FTR
9.7,Innocence,ETR
9.7,IONOSTREAM,ETR
9.7,Last Goodbye,ETR
9.7,Black Mirror on the Wall,ETR
9.7,Particle,ETR
9.7,Moonheart,BYD
9.7,Eternity,BYD
9.7,Teriqma,BYD
9.7,Oblivia,BYD
9.7,Snow White,BYD
9.7,Lethaeus,FTR
9.7,The Message,FTR
9.7,Sulfur,FTR
9.7,Fallensquare,FTR
9.7,DX Choseinou Full Metal Shojo,FTR
9.7,SUPERNOVA,FTR
9.7,Dreadnought,FTR
9.7,Monochrome Princess,FTR
9.7,Filament,FTR
9.7,BATTLE NO.1,FTR
9.7,BLRINK,FTR
9.7,Amygdata,FTR
9.7,Black Lotus,FTR
9.7,BADTEK,FTR
9.7,Heart Jackin',FTR
9.7,Dazzle hop,FTR
9.7,Vandalism,FTR
9.7,AlterAle,FTR
9.7,Goldenslaughterer,FTR
9.7,Nέο κόsmo,FTR
9.7,Μ,FTR
9.7,Loveless Dress,FTR
9.7,Let's Rock (Arcaea mix),FTR
9.7,Lost in the Abyss,FTR
9.7,SACRIFICE feat. ayame,FTR
9.7,B.B.K.K.B.K.K.,FTR
9.7,Hotarubi no Yuki,FTR
9.7,Luna Rossa,FTR
9.7,Awaken In Ruins,FTR
9.7,Hailstone,FTR
9.7,Rays of Remnant,FTR
9.7,Τ (tau),FTR
9.7,Acheron,FTR
9.7,The Forgotten Forest Haven,FTR
9.7,+1(UNKNOWN)-NUMBER,FTR
9.7,Vallista,FTR
9.6,Epitaxy,ETR
9.6,See the Lights!,ETR
9.6,Factorder,ETR
9.6,Infinity Heaven,BYD
9.6,Purgatorium,BYD
9.6,Next to you,BYD
9.6,Antithese,BYD
9.6,Moment,BYD
9.6,Quon (Feryquitous),FTR
9.6,Carmine:scythe,FTR
9.6,LunarOrbit -believe in the Espebranch road-,FTR
9.6,Astral tale,FTR
9.6,Vindication,FTR
9.6,A Wandering Melody of Love,FTR
9.6,Avant Raze,FTR
9.6,Purple Verse,FTR
9.6,Lazy Addiction,FTR
9.6,ENERGY SYNERGY MATRIX,FTR
9.6,Heart,FTR
9.6,IMPACT,FTR
9.6,Remind the Souls (Short Version),FTR
9.6,Stratoliner,FTR
9.6,Alone & Lorn,FTR
9.6,Distorted Fate,FTR
9.6,Renegade,FTR
9.6,CHAOSBLAST,FTR
9.6,Eternity Break,FTR
9.6,Paranoid Arc,FTR
9.6,Subsphere in Eclosion,FTR
9.6,Melty Rhapsody,FTR
9.6,Arghena,PRS
9.6,Designant.,PRS
9.5,Jingle,ETR
9.5,SATISFACTION,ETR
9.5,Fairytale,BYD
9.5,Lumia,BYD
9.5,DataErr0r,FTR
9.5,Cybernecia Catharsis,FTR
9.5,Illegal Paradise,FTR
9.5,STAGER (ALL STAGE CLEAR),FTR
9.5,OMAKENO Stroke,FTR
9.5,MAHOROBA,FTR
9.5,ΟΔΥΣΣΕΙΑ,FTR
9.5,Evening in Scarlet,FTR
9.5,NULCTRL,FTR
9.5,GIMMICK,FTR
9.5,Dynitikós,FTR
9.5,Transient Space,FTR
9.5,Felys final remix,FTR
9.5,On And On!! feat. Jenga,FTR
9.5,〇、,FTR
9.5,Twilight Concerto,FTR
9.5,In Vain,FTR
9.5,Inverted World,FTR
9.5,Rain of Conflict in a Radiant Abyss,FTR
9.5,Dies irae,FTR
9.5,Astral.exe,FTR
9.5,8-EM,FTR
9.5,Straight into the lights,FTR
9.5,MEGALOVANIA,FTR
9.5,End of The Moonlight,FTR
9.5,OBLIVION,FTR
9.5,Someday,FTR
9.5,Dual Dependency,FTR
9.5,Viola Illyria,FTR
9.5,Particle,FTR
9.5,Zephyrlasting,FTR
9.5,MARENYX,FTR
9.5,The 'Raft' taught me: your heart will always find a way.,FTR
9.5,One Step Closer,FTR
9.5,Fracture Ray,PRS
9.5,Dropdead,PRS
9.5,Tempestissimo,PRS
9.4,FURETE-MITAI,ETR
9.4,Death By Glamour,ETR
9.4,I want You,ETR
9.4,MERLIN,BYD
9.4,Inkar-usi,BYD
9.4,Party Vinyl,FTR
9.4,CROSS†SOUL,FTR
9.4,Your voice so... feat. Such,FTR
9.4,Impure Bird,FTR
9.4,Dreamin' Attraction!!,FTR
9.4,Red and Blue,FTR
9.4,Yosakura Fubuki,FTR
9.4,Specta,FTR
9.4,Be There,FTR
9.4,VECTOЯ,FTR
9.4,AI［UE］OON,FTR
9.4,Equilibrium,FTR
9.4,Teriqma,FTR
9.4,CROSS†OVER,FTR
9.4,Lapis,FTR
9.4,Crystal Gravity,FTR
9.4,With U,FTR
9.4,Let you DIVE! (nitro rmx),FTR
9.4,Lastendconductor,FTR
9.4,Final Step!,FTR
9.4,Sakura Fubuki,FTR
9.4,Head BONK ache,FTR
9.4,PICO-Pico-Translation!,FTR
9.4,Redraw the Colorless World,FTR
9.4,MANTIS (Arcaea Ultra-Bloodrush VIP),FTR
9.4,DRG,FTR
9.4,Raven's Pride,FTR
9.4,FANTA5Y,FTR
9.4,Third Sun,FTR
9.4,Don't Die,FTR
9.4,BlythE,FTR
9.4,Mod,FTR
9.4,ΛZΛLEΛ,FTR
9.4,Undefined,FTR
9.4,OMAJINAI,FTR
9.4,SAIKYO STRONGER,PRS
9.4,Testify,PRS
9.3,HELLOHELL,ETR
9.3,GOODTEK (Arcaea Edit),FTR
9.3,Oracle,FTR
9.3,Ignotus,FTR
9.3,Auxesia,FTR
9.3,Syro,FTR
9.3,Blaster,FTR
9.3,Feels So Right feat. Renko,FTR
9.3,Glow,FTR
9.3,Can I Friend You on Bassbook? Lol,FTR
9.3,Small Cloud Sugar Candy,FTR
9.3,False Embellishment,FTR
9.3,Blocked Library,FTR
9.3,Lost Emotion feat. nomico,FTR
9.3,The Formula,FTR
9.3,Floating World,FTR
9.3,STARGATE EXTREME,FTR
9.3,Don't Fight The Music,FTR
9.3,GOODRAGE,FTR
9.3,Grievous Lady,PRS
9.2,Ladymade Star,ETR
9.2,Lost Civilization,FTR
9.2,Anökumene,FTR
9.2,Strongholds,FTR
9.2,Rugie,FTR
9.2,Phantasia,FTR
9.2,Libertas,FTR
9.2,Alice à la mode,FTR
9.2,Dancin' on a Cat's Paw,FTR
9.2,Cocoro*cosmetic,FTR
9.2,Used to be,FTR
9.2,Leave All Behind,FTR
9.2,"Sign of ""10.5km""",FTR
9.2,3rd Avenue,FTR
9.2,Cryogenic,FTR
9.2,＃1f1e33,PRS
9.2,ALTER EGO,PRS
9.1,Prayer,ETR
9.1,Gimme Caramel Popcorn!,ETR
9.1,Shades of Light in a Transcendent Realm,BYD
9.1,Qualia -ideaesthesia-,FTR
9.1,Essence of Twilight,FTR
9.1,Iconoclast,FTR
9.1,Journey,FTR
9.1,Dropdead,FTR
9.1,Empire of Winter,FTR
9.1,ReviXy,FTR
9.1,La'qryma of the Wasteland,FTR
9.1,Faint Light (Arcaea Edit),FTR
9.1,Alice's Suitcase,FTR
9.1,Life is PIANO,FTR
9.1,Coastal Highway,FTR
9.1,Blue Rose,FTR
9.1,Aegleseeker,PRS
9,Vexaria,BYD
9,Flyburg and Endroll,FTR
9,Kanagawa Cyber Culvert,FTR
9,Jump,FTR
9,Turbocharger,FTR
9,Last,FTR
9,Galactic Love,FTR
9,Lawless Point,FTR
9,Primeval Texture,FTR
8.9,Suomi,ETR
8.9,Memoryfactory.lzh,FTR
8.9,Flashback,FTR
8.9,Chronostasis,FTR
8.9,Evoltex (poppi'n mix),FTR
8.9,Maze No.9,FTR
8.9,MERLIN,FTR
8.9,Chelsea,FTR
8.9,Give Me a Nightmare,FTR
8.9,Lights of Muse,FTR
8.9,Hypnotize,FTR
8.9,Dual Doom Deathmatch,FTR
8.9,BlazinG AIR,FTR
8.9,Your Best Nightmare,FTR
8.9,No Way Back,FTR
8.9,INCARNATOR₀₀,FTR
8.9,REKKA RESONANCE,PRS
8.9,GENOCIDER,PRS
8.9,Chronicle,PRS
8.9,To the Milky Way,PRS
8.9,Lucid Traveler,PRS
8.9,͟͝͞Ⅱ́̕,PRS
8.9,Abstruse Dilemma,PRS
8.9,TeraVolt,PRS
8.9,Aether Crest: Astral,PRS
8.8,Clotho and the stargazer,ETR
8.8,Hidden Rainbows of Epicurus,ETR
8.8,Surrender,FTR
8.8,Next to you,FTR
8.8,Solitary Dream,FTR
8.8,Antithese,FTR
8.8,Vivid Theory,FTR
8.8,Cosmica,FTR
8.8,Dialnote,FTR
8.8,CYCLES,FTR
8.8,Cosmo Pop Funclub,FTR
8.8,MORNINGLOOM,FTR
8.8,Waltz for Lorelei,FTR
8.8,Saint or Sinner,FTR
8.8,Crimson Quartz,FTR
8.8,BREaK! BREaK! BREaK!,FTR
8.8,Shinchoku Doudesuka?,FTR
8.8,Tic! Tac! Toe!,FTR
8.8,Incomplete the one,FTR
8.8,Paradox Palette,FTR
8.8,My life is mine alone!,FTR
8.8,NULL APOPHENIA,PRS
8.8,PRIMITIVE LIGHTS,PRS
8.8,Aleph-0,PRS
8.8,Lament Rain,PRS
8.8,Extradimensional Cosmic Phenomenon,PRS
8.7,Heartache,ETR
8.7,Wake in Hour,ETR
8.7,Cry of viyella,FTR
8.7,Call My Name feat. Yukacco,FTR
8.7,Grimheart,FTR
8.7,Senkyou,FTR
8.7,Beside You,FTR
8.7,Paper Witch,FTR
8.7,Quon (DJ Noriken),FTR
8.7,"Tsuki ni Murakumo, Hana ni Kaze",FTR
8.7,WAIT FOR DAWN,FTR
8.7,IONOSTREAM,FTR
8.7,Gensou no Satellite,FTR
8.7,U.A.D,FTR
8.7,Pentiment,PRS
8.7,Arcana Eden,PRS
8.7,Back to Basics,PRS
8.7,AlterGate,PRS
8.7,Undying Macula,PRS
8.6,Silent Rush,FTR
8.6,FREEF4LL,FTR
8.6,Gekka (Short Version),FTR
8.6,April showers,FTR
8.6,Enchanted love,FTR
8.6,Epitaxy,FTR
8.6,Black Mirror on the Wall,FTR
8.6,See the Lights!,FTR
8.6,Factorder,FTR
8.6,INFINITE DIMENSION,FTR
8.6,CHAIN2NITE,FTR
8.6,PRAGMATISM,PRS
8.6,BUCHiGiRE Berserker,PRS
8.6,HIVEMIND,PRS
8.6,Ego Eimi,PRS
8.6,Judgement,PRS
8.6,ViRTUS,PRS
8.5,Sayonara Hatsukoi,ETR
8.5,Babaroque,FTR
8.5,Dandelion,FTR
8.5,Harutopia ~Utopia of Spring~,FTR
8.5,Reinvent,FTR
8.5,DDD,FTR
8.5,Altair (feat. *spiLa*),FTR
8.5,Syūten,FTR
8.5,Innocence,FTR
8.5,SATISFACTION,FTR
8.5,Axium Crisis,PRS
8.5,Misdeed -la bonté de Dieu et l'origine du mal-,PRS
8.5,Overwhelm,PRS
8.5,Live Fast Die Young,PRS
8.5,Aurgelmir,PRS
8.5,LAMIA,PRS
8.5,To the Furthest Dream,PRS
8.5,Ultradiaxon-N3,PRS
8.5,Vulcānus,PRS
8.5,And Revive The Melody,PRS
8.5,"Welcome, Queen of Fiction.",PRS
8.5,Angel's Boundary,PRS
8.5,Desertrealm,PRS
8.4,Snow White,FTR
8.4,Lumia,FTR
8.4,REconstruction,FTR
8.4,Moonheart,FTR
8.4,Rabbit In The Black Room,FTR
8.4,Purgatorium,FTR
8.4,Eccentric Tale,FTR
8.4,INTERNET OVERDOSE,FTR
8.4,FURETE-MITAI,FTR
8.4,Ladymade Star,FTR
8.4,Vainspire,FTR
8.4,Taboo tears you up 2017,FTR
8.4,Cyaegha,PRS
8.4,Ringed Genesis,PRS
8.4,Breach of Faith,PRS
8.4,DA'AT -The First Seeker of Souls-,PRS
8.4,MEGALOVANIA (Camellia Remix),PRS
8.4,Lilly,PRS
8.4,Grandspell,PRS
8.3,Dematerialized,ETR
8.3,Shades of Light in a Transcendent Realm,FTR
8.3,Bookmaker (2D Version),FTR
8.3,Dot to Dot feat. shully,FTR
8.3,Tie me down gently,FTR
8.3,Oblivia,FTR
8.3,Ävril -Flicka i krans-,FTR
8.3,San skia,FTR
8.3,I want You,FTR
8.3,Disintegration,FTR
8.3,Ether Strike,PRS
8.3,IZANA,PRS
8.3,AttraqtiA,PRS
8.3,MIRINAE,PRS
8.3,Placebo♥Battler,PRS
8.3,Xterfusion,PRS
8.3,Code: Oblivion,PRS
8.2,Lucifer,FTR
8.2,Genesis (Iris),FTR
8.2,One Last Drive,FTR
8.2,Hall of Mirrors,FTR
8.2,1F√,FTR
8.2,Blue comet,FTR
8.2,Prayer,FTR
8.2,LiftOff,FTR
8.2,Last Goodbye,FTR
8.2,Miles,FTR
8.2,Halcyon,PRS
8.2,Dantalion,PRS
8.2,TEmPTaTiON,PRS
8.2,Eden,PRS
8.2,Qovat,PRS
8.2,ROST PAGE GENE,PRS
8.1,I've heard it said,FTR
8.1,Hikari,FTR
8.1,Diode,FTR
8.1,Bullet Waiting for Me (James Landino remix),FTR
8.1,Gimme Caramel Popcorn!,FTR
8.1,G e n g a o z o,PRS
8.1,Rise of the World,PRS
8.1,UNKNOWN LEVELS,PRS
8.1,Astral Quantization,PRS
8.1,Subsphere in Eclosion,PRS
8.1,3rd Avenue,PRS
8,Relentless,FTR
8,World.execute(me);,FTR
8,Prism,FTR
8,Γuarδina,PRS
8,Crimson Throne,PRS
8,Désive,PRS
8,Black MInD,PRS
8,Yomibito shirazu,PRS
8,Dull Blade,PRS
8,We're All Gonna Die,PRS
8,~ +,PRS
